Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=0.00.
Calc: L = 201.56, beta = 2.09, H = 175.00, tau = -100.00, phi = 2.21, h' = 40.00.
Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=0.00.
Calc: L = 201.56, beta = 2.09, H = 175.00, tau = -100.00, phi = 2.21, h' = 40.00.
Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=94.06.
Calc: L = 201.56, beta = 2.09, H = 93.33, tau = -53.33, phi = 2.21, h' = 21.33.
Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=141.09.
Calc: L = 201.56, beta = 2.09, H = 52.50, tau = -30.00, phi = 2.21, h' = 12.00.
Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=169.31.
Calc: L = 201.56, beta = 2.09, H = 28.00, tau = -16.00, phi = 2.21, h' = 6.40.
Input: vx=0.00, vy=75.00, x=100.00, y=-100.00, height=40.00, d=188.12.
Calc: L = 201.56, beta = 2.09, H = 11.67, tau = -6.67, phi = 2.21, h' = 2.67.
